半金比率,ドーピング濃度,予測_抵抗減少量
94,3.7000000000000024,0.05128194
95,3.7000000000000024,0.05128194
96,3.7000000000000024,0.05128194
97,3.7000000000000024,0.05128194
98,3.7000000000000024,0.0233146252
99,3.7000000000000024,0.0233146252
100,3.7000000000000024,0.0233146252
80,3.8000000000000025,0.09316350400000001
81,3.8000000000000025,0.09316350400000001
82,3.8000000000000025,0.09316350400000001
83,3.8000000000000025,0.09316350400000001
84,3.8000000000000025,0.09316350400000001
85,3.8000000000000025,0.09316350400000001
86,3.8000000000000025,0.09316350400000001
87,3.8000000000000025,0.09316350400000001
88,3.8000000000000025,0.09316350400000001
89,3.8000000000000025,0.09316350400000001
90,3.8000000000000025,0.09316350400000001
91,3.8000000000000025,0.09316350400000001
92,3.8000000000000025,0.09316350400000001
93,3.8000000000000025,0.05128194
94,3.8000000000000025,0.05128194
95,3.8000000000000025,0.05128194
96,3.8000000000000025,0.05128194
97,3.8000000000000025,0.05128194
98,3.8000000000000025,0.0233146252
99,3.8000000000000025,0.0233146252
100,3.8000000000000025,0.0233146252
80,3.9000000000000026,0.09316350400000001
81,3.9000000000000026,0.09316350400000001
82,3.9000000000000026,0.09316350400000001
83,3.9000000000000026,0.09316350400000001
84,3.9000000000000026,0.09316350400000001
85,3.9000000000000026,0.09316350400000001
86,3.9000000000000026,0.09316350400000001
87,3.9000000000000026,0.09316350400000001
88,3.9000000000000026,0.09316350400000001
89,3.9000000000000026,0.09316350400000001
90,3.9000000000000026,0.09316350400000001
91,3.9000000000000026,0.09316350400000001
92,3.9000000000000026,0.09316350400000001
93,3.9000000000000026,0.05128194
94,3.9000000000000026,0.05128194
95,3.9000000000000026,0.05128194
96,3.9000000000000026,0.05128194
97,3.9000000000000026,0.05128194
98,3.9000000000000026,0.0233146252
99,3.9000000000000026,0.0233146252
100,3.9000000000000026,0.0233146252
80,4.000000000000003,0.09316350400000001
81,4.000000000000003,0.09316350400000001
82,4.000000000000003,0.09316350400000001
83,4.000000000000003,0.09316350400000001
84,4.000000000000003,0.09316350400000001
85,4.000000000000003,0.09316350400000001
86,4.000000000000003,0.09316350400000001
87,4.000000000000003,0.09316350400000001
88,4.000000000000003,0.09316350400000001
89,4.000000000000003,0.09316350400000001
90,4.000000000000003,0.09316350400000001
91,4.000000000000003,0.09316350400000001
92,4.000000000000003,0.09316350400000001
93,4.000000000000003,0.05128194
94,4.000000000000003,0.05128194
95,4.000000000000003,0.05128194
96,4.000000000000003,0.05128194
97,4.000000000000003,0.05128194
98,4.000000000000003,0.0233146252
99,4.000000000000003,0.0233146252
100,4.000000000000003,0.0233146252
80,4.100000000000003,0.09316350400000001
81,4.100000000000003,0.09316350400000001
82,4.100000000000003,0.09316350400000001
83,4.100000000000003,0.09316350400000001
84,4.100000000000003,0.09316350400000001
85,4.100000000000003,0.09316350400000001
86,4.100000000000003,0.09316350400000001
87,4.100000000000003,0.09316350400000001
88,4.100000000000003,0.09316350400000001
89,4.100000000000003,0.09316350400000001
90,4.100000000000003,0.09316350400000001
91,4.100000000000003,0.09316350400000001
92,4.100000000000003,0.09316350400000001
93,4.100000000000003,0.05128194
94,4.100000000000003,0.05128194
95,4.100000000000003,0.05128194
96,4.100000000000003,0.05128194
97,4.100000000000003,0.05128194
98,4.100000000000003,0.0233146252
99,4.100000000000003,0.0233146252
100,4.100000000000003,0.0233146252
80,4.200000000000003,0.09316350400000001
81,4.200000000000003,0.09316350400000001
82,4.200000000000003,0.09316350400000001
83,4.200000000000003,0.09316350400000001
84,4.200000000000003,0.09316350400000001
85,4.200000000000003,0.09316350400000001
86,4.200000000000003,0.09316350400000001
87,4.200000000000003,0.09316350400000001
88,4.200000000000003,0.09316350400000001
89,4.200000000000003,0.09316350400000001
90,4.200000000000003,0.09316350400000001
91,4.200000000000003,0.09316350400000001
92,4.200000000000003,0.09316350400000001
93,4.200000000000003,0.05128194
94,4.200000000000003,0.05128194
95,4.200000000000003,0.05128194
96,4.200000000000003,0.05128194
97,4.200000000000003,0.05128194
98,4.200000000000003,0.0233146252
99,4.200000000000003,0.0233146252
100,4.200000000000003,0.0233146252
80,4.3000000000000025,0.09316350400000001
81,4.3000000000000025,0.09316350400000001
